CookerStat, GenerateAssetRegistry=0.015646, Initialize=0.081349, RunGuid=RunID55C479FF4A75A92109247CACC4E2EBBA
DDCTransactionIdDCB6F0264B4FC6D40C099C8421310F57_0, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_FE04593A4F28AB837B40D29EADED3C9D__1_0_13123_0, StartTime=2016.04.11-21.29.33, HierarchicalDDC=, DataSize=458, Duration=2.986651, RunGuid=RunID55C479FF4A75A92109247CACC4E2EBBA
DDCTransactionIdC85FD47E4D4F5DEF43F5068218F8E5D8_0, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_A306FD764394166C42CB959D44B3444B__1_0_13123_0, StartTime=2016.04.11-21.29.33, HierarchicalDDC=, DataSize=458, Duration=2.298582, RunGuid=RunID55C479FF4A75A92109247CACC4E2EBBA
DDCTransactionIdA6920936470C39A241D8D1A5EC1176D7_0, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_DCBAE16F4063612B3B9BBAAC33F5FD60__1_0_13123_0, StartTime=2016.04.11-21.29.33, HierarchicalDDC=, DataSize=458, Duration=2.817694, RunGuid=RunID55C479FF4A75A92109247CACC4E2EBBA
DDCTransactionIdC85FD47E4D4F5DEF43F5068218F8E5D8_1, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_272EE0A748B111A3BC734593740E6BAA__1_0_13123_0, StartTime=2016.04.11-21.29.33, HierarchicalDDC=, DataSize=458, Duration=2.177697, RunGuid=RunID55C479FF4A75A92109247CACC4E2EBBA
DDCTransactionIdF1395CF5419A0746F1C38FB6416A196A_0, BuildTexture=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_FCC61AA54D44D8EF656D378811DBFFE4_07_0000803F0000803F0000803F000000000000803F00000000000000000000803F0000000000000000020000000E000000000000000101000000040000803FFFFFFFFF00000000FF00FF00FFFF8180803B, StartTime=2016.04.11-21.29.33, Duration=244.424057, RunGuid=RunID55C479FF4A75A92109247CACC4E2EBBA
DDCTransactionIdDCB6F0264B4FC6D40C099C8421310F57_1, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_FCC61AA54D44D8EF656D378811DBF__87613AE3F1D045D3A280BCA7F31AA053A08D7E81, StartTime=2016.04.11-21.29.34, HierarchicalDDC=, DataSize=4194569, Duration=9.338260, RunGuid=RunID55C479FF4A75A92109247CACC4E2EBBA
DDCTransactionIdA6920936470C39A241D8D1A5EC1176D7_1, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_FCC61AA54D44D8EF656D378811DBF__A4E05701913C5369C696540821C89F076F4D9A21, StartTime=2016.04.11-21.29.34, HierarchicalDDC=, DataSize=1048841, Duration=5.114000, RunGuid=RunID55C479FF4A75A92109247CACC4E2EBBA
DDCTransactionIdC85FD47E4D4F5DEF43F5068218F8E5D8_2, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_FCC61AA54D44D8EF656D378811DBF__410A07A948BB986C937438AA3D5B7FEDDEDD3CFE, StartTime=2016.04.11-21.29.34, HierarchicalDDC=, DataSize=262407, Duration=3.223874, RunGuid=RunID55C479FF4A75A92109247CACC4E2EBBA
DDCTransactionIdC85FD47E4D4F5DEF43F5068218F8E5D8_3, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_FCC61AA54D44D8EF656D378811DBF__85F05988C22F7ED69CFF3E0393CB05A64470CFD0, StartTime=2016.04.11-21.29.34, HierarchicalDDC=, DataSize=65799, Duration=2.042584, RunGuid=RunID55C479FF4A75A92109247CACC4E2EBBA
DDCTransactionIdA6920936470C39A241D8D1A5EC1176D7_2, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_FCC61AA54D44D8EF656D378811DBF__9EDE017678410CA6C3E766026DAE3587F650B8DD, StartTime=2016.04.11-21.29.34, HierarchicalDDC=, DataSize=16647, Duration=2.206709, RunGuid=RunID55C479FF4A75A92109247CACC4E2EBBA
DDCTransactionIdC85FD47E4D4F5DEF43F5068218F8E5D8_4, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_FCC61AA54D44D8EF656D378811DBF__4F6B8B62CBBE06A54A9AEBC57D15085B511C8825, StartTime=2016.04.11-21.29.34, HierarchicalDDC=, DataSize=7493, Duration=2.025232, RunGuid=RunID55C479FF4A75A92109247CACC4E2EBBA
